1,Bulbasaur,,Grass,Poison,45,49,49,65,65,45,19,,,,21,True,M
10,Caterpie,,Bug,,45,30,35,20,20,45,20,,,,17,False,F
112,Rhydon,,Ground,Rock,105,130,120,45,45,40,211,16,306,372,147,True,M
145,Zapdos,Zappy,Electric,Flying,90,90,85,125,90,100,399,398,396,133,225,True,F
150,Mewtwo,,Psychic,,106,110,90,154,90,130,383,,,,14,True,M
73,Tentacruel,Jelly,Water,Poison,80,70,65,80,120,100,193,194,179,198,61,True,M
5,Charmeleon,Lizzy,Fire,,58,64,58,80,65,80,241,,158,,48,False,M
24,Arbok,Snek,Poison,,60,85,69,65,79,80,,17,18,,13,True,F
82,Magneton,,Electric,Steel,50,60,95,120,70,70,214,,,293,192,True,F
130,Gyarados,,Water,Flying,95,125,79,60,100,81,256,32,74,54,12,True,M
88,Grimer,,Poison,,80,80,50,40,50,25,29,10,32,,10,True,F
85,Dodrio,,Normal,Flying,60,110,70,60,60,100,32,66,,,86,True,M
91,Cloyster,Shelly,Water,Ice,50,95,180,85,45,70,55,82,,,84,True,F
68,Machamp,POGGERS,Fighting,,90,130,80,65,85,55,68,76,,,46,False,M
78,Rapidash,,Fire,,65,100,70,80,80,105,118,105,121,123,17,True,F
107,Hitmonchan,,Fighting,,50,105,79,35,110,76,,,15,,16,True,M
110,Weezing,,Poison,,65,90,120,85,70,60,89,,,,59,True,M
142,Aerodactyl,,Rock,Flying,80,105,65,60,75,130,382,,,,144,False,F
26,Raichu,,Electric,,60,90,55,90,80,110,381,,,,161,True,M
76,Golem,,Rock,Ground,80,120,130,55,65,45,273,284,283,290,119,False,F
87,Dewgong,,Water,Ice,90,70,80,70,95,70,25,195,359,388,85,False,F
11,Metapod,,Bug,,50,20,55,25,25,30,113,300,151,160,14,True,M
64,Kadabra,,Psychic,,40,35,30,120,70,105,,266,,,52,True,F
113,Chansey,,Normal,,250,5,5,35,105,50,9,,,,43,False,F
37,Vulpix,,Fire,,38,41,40,50,65,65,39,71,,,50,True,F
